UNITID,CONTROL,TUITIONFEE_IN,TUITIONFEE_OUT,SAT_AVG_ALL,TUITFTE,GRAD_DEBT_MDN,FAMINC,MEAN_EARN_6,MEAN_EARN_8,MEAN_EARN_10
207500,Public,9495,22269,1189,11150,19375,72079.24574,48600,56000,61900
207582,Private,23410,23410,1010,12600,29250,55266.9925,33600,38700,43100
207661,Public,5725,12766,850,3969,15500,42199.56498,33100,36300,39300
207689,Private,19320,19320,,9892,23762.5,53551.73058,40600,38600,48700
207722,Public,6270,15210,1039,2936,21774,48501.62994,30400,36100,36400
207847,Public,5688,13992,970,4408,14460,38576.29466,34300,37000,41000
207856,Private,12470,12470,981,8654,25000,36524.30139,28400,32900,32300
207865,Public,5820,12270,1010,4283,16010,52554.33072,39400,44900,48200
207971,Private,35855,35855,1296,20416,25226,83745.08776,50400,57300,60500
208488,Private,27420,27420,1037,12091,24477.5,57658.01921,44600,44700,49100
208646,Public,7440,17509,948,5215,22000,38729.1419,36000,39900,44100
208725,Private,15950,15950,,16330,24842,49743.47917,PrivacySuppressed,27800,31100
208822,Private,31866,31866,1081,16009,21826,74406.64247,42200,45600,51000
209056,Private,43382,43382,,24037,24000,86451.82467,35900,47600,55000
209065,Private,37416,37416,1083,20682,25000,74530.85203,52100,58700,60300
209108,Private,20295,20295,,18930,29168,31697.53039,47900,43800,41100
209241,Private,19589,19589,,26488,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
209287,Private,22100,22100,1047,11417,22963.5,48185.92989,33300,35000,38100
209409,Private,26180,26180,987,8288,23016,53484.52334,37300,43400,45700
209490,Public,,,,24021,12500,23980.27622,94100,113900,114900
209506,Public,8445,23670,1044,7177,25000,46725.89888,52900,55800,57800
209533,Private,28320,28320,,25558,31021.5,44554.12245,19800,21800,32100
209542,Public,9122,26294,1112,10540,23000,61950.80644,42700,49000,56700
209551,Public,9918,30888,1116,15185,21000,74679.00725,39800,47000,51300
209603,Private,33714,33714,,18806,29250,57042.22768,23500,28700,37400
209612,Private,38510,38510,1090,24217,26497.5,70207.677,35800,43700,51400
209807,Public,7794,23319,1030,8488,22250,39303.97986,38400,44400,50800
209825,Private,40424,40424,1195,20125,24919,94266.15979,54900,57200,62500
209922,Private,47760,47760,1383,28527,16000,87598.52101,34800,41000,52700
210146,Public,7701,21279,1029,6352,23000,50403.41767,32100,36100,43400
210304,Private,20300,20300,,16328,26053,45168.1753,43000,44100,45200
210331,Private,28640,28640,1016,13000,25000,71049.88805,33100,38200,40200
210401,Private,44076,44076,1209,20372,24500,92711.25664,36600,46400,57900
210429,Public,9105,22200,1001,6513,23500,55697.63312,33300,37400,43400
210492,Private,18609,18609,900,10966,20544,60812.1497,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
210571,Private,38220,38220,,14946,28000,58871.72531,39900,47000,51400
210669,Private,40660,40660,1170,19492,28200,94527.88256,37700,46600,56800
210739,Private,32350,32350,1033,15995,26017,70740.69104,43000,51500,54700
